CRMA;LRRC15_CAF;Myeloid_DC;NonResponse_Ivy;TGFB_Mariathasan;ADO;APM_Thompson;APM_Wang;B_cell_Budczies;B_cell_Helmink;Blood_Response;CD8_Jiang;CD8_SF;CYT;IFNG;ImmuneCells;Inflammatory;IRG_Ayers;KDM5A;M1;Macrophage;PDL1;peri_Tcell;Response_Ivy;STAT1;T_cell_inflamed;TIS;TLS;C_ECM;EMT_Thompson;PTEN_loss;T_cell_exclusion;IRG_Yang;IMPRES;MPS
;;;SNRPG;;;;;;;;;;;;TM4SF19;;;;;;;;ARHGAP15;;;;;;;PARP9;PLXNC1;;;
;;;PGAM5;;;;;;;;;;;;TMEM171;;;;;;;;CMKLR1;;;;;;;HLA-B;PSAP;;;
;;;CDCA2;;;;;;;;;;;;TRAF3IP2;;;;;;;;DOCK10;;;;;;;LOC390557;QPCT;;;
;;;ESPL1;;;;;;;;;;;;TREM2;;;;;;;;GVIN1;;;;;;;CD48;RAB5B;;;
;;;GINS3;;;;;;;;;;;;TRPC4;;;;;;;;RAB8B;;;;;;;HCP5;S100A1;;;
;;;NME1-NME2;;;;;;;;;;;;TSHZ3;;;;;;;;KLRD1;;;;;;;HLA-F;S100B;;;
;;;PDSS1;;;;;;;;;;;;TUBA8;;;;;;;;ALOX5;;;;;;;TRIM63;SAT1;;;
;;;WDR43;;;;;;;;;;;;TYMS;;;;;;;;CD3E;;;;;;;PLA1A;SEC11C;;;
;;;FANCI;;;;;;;;;;;;UBE2C;;;;;;;;EHD1;;;;;;;TYSND1;SLC7A8;;;
;;;APOBEC3A;;;;;;;;;;;;UNC80;;;;;;;;LILRB4;;;;;;;CXCL13;ST3GAL6;;;
;;;HJURP;;;;;;;;;;;;ZNF219;;;;;;;;PTGDS;;;;;;;MGC13057;TMED10;;;
;;;RAD54B;;;;;;;;;;;;ZNF462;;;;;;;;TLR9;;;;;;;CABLES1;TMEM255A;;;
;;;PLK4;;;;;;;;;;;;ZNF610;;;;;;;;PITPNM2;;;;;;;MCOLN3;TYR;;;
;;;TIMM8A;;;;;;;;;;;;ZNF880;;;;;;;;DPEP2;;;;;;;HRK;VAT1;;;
;;;FEN1;;;;;;;;;;;;;;;;;;;;APBB1IP;;;;;;;OSTM1;;;;
;;;TMPO;;;;;;;;;;;;;;;;;;;;GZMB;;;;;;;ASB9;;;;
;;;LOC146880;;;;;;;;;;;;;;;;;;;;SIRPA;;;;;;;FAIM3;;;;
;;;PBK;;;;;;;;;;;;;;;;;;;;GBP2;;;;;;;VAT1;;;;
;;;LMNB1;;;;;;;;;;;;;;;;;;;;P2RY10;;;;;;;ARL6IP5;;;;
;;;FAM72A;;;;;;;;;;;;;;;;;;;;DOK3;;;;;;;S100A1;;;;
;;;CDC25C;;;;;;;;;;;;;;;;;;;;GBP4;;;;;;;GYG2;;;;
;;;STMN1;;;;;;;;;;;;;;;;;;;;SOCS1;;;;;;;LY96;;;;
;;;SGOL2;;;;;;;;;;;;;;;;;;;;C5orf20;;;;;;;CD44;;;;
;;;C3orf26;;;;;;;;;;;;;;;;;;;;CXorf65;;;;;;;HLA-E;;;;
;;;RAD51;;;;;;;;;;;;;;;;;;;;PSMB10;;;;;;;FBXO6;;;;
;;;ZWINT;;;;;;;;;;;;;;;;;;;;SERPING1;;;;;;;HLA-G;;;;
;;;TUBA1C;;;;;;;;;;;;;;;;;;;;FAM159A;;;;;;;MITF;;;;
;;;UQCRB;;;;;;;;;;;;;;;;;;;;CD48;;;;;;;RTP4;;;;
;;;POP1;;;;;;;;;;;;;;;;;;;;PLCB2;;;;;;;SERPINB1;;;;
;;;MND1;;;;;;;;;;;;;;;;;;;;ICOS;;;;;;;CBR3;;;;
;;;DSCC1;;;;;;;;;;;;;;;;;;;;PAQR8;;;;;;;ST6GALNAC2;;;;
;;;CENPN;;;;;;;;;;;;;;;;;;;;NAPSA;;;;;;;MYO5A;;;;
;;;SNRPC;;;;;;;;;;;;;;;;;;;;IL18BP;;;;;;;PSMB8;;;;
;;;CCNE1;;;;;;;;;;;;;;;;;;;;RHOF;;;;;;;PRKCD;;;;
;;;TOP2A;;;;;;;;;;;;;;;;;;;;DENND3;;;;;;;CEACAM1;;;;
;;;FBXO5;;;;;;;;;;;;;;;;;;;;LPXN;;;;;;;IRF4;;;;
;;;FANCB;;;;;;;;;;;;;;;;;;;;PNOC;;;;;;;IFI35;;;;
;;;HMMR;;;;;;;;;;;;;;;;;;;;FCRH3;;;;;;;STX7;;;;
;;;POLQ;;;;;;;;;;;;;;;;;;;;GZMH;;;;;;;TRPV2;;;;
;;;CENPL;;;;;;;;;;;;;;;;;;;;ARRDC5;;;;;;;CHCHD6;;;;
;;;PPAT;;;;;;;;;;;;;;;;;;;;RASGRP3;;;;;;;CASP1;;;;
;;;KIF23;;;;;;;;;;;;;;;;;;;;NKG7;;;;;;;STAT1;;;;
;;;RAD51AP1;;;;;;;;;;;;;;;;;;;;LILRB3;;;;;;;P2RX7;;;;
